iter	Passed	Remaining
313	635	1387
314	636	1385
315	638	1382
316	641	1381
317	643	1379
318	645	1377
319	647	1375
320	649	1373
321	651	1370
322	652	1368
323	654	1365
324	657	1364
325	659	1363
326	661	1361
327	663	1359
328	665	1357
329	667	1354
330	669	1352
331	671	1351
332	673	1349
333	675	1347
334	678	1346
335	679	1343
336	681	1341
337	683	1338
338	685	1336
339	687	1334
340	689	1331
341	690	1328
342	692	1326
343	694	1324
344	697	1325
345	700	1324
346	703	1323
347	706	1322
348	708	1322
349	710	1319
350	712	1317
351	714	1316
352	717	1314
353	719	1313
354	721	1311
355	724	1309
356	726	1308
357	727	1305
358	729	1303
359	731	1299
360	733	1297
361	734	1294
362	736	1293
363	739	1291
364	740	1289
365	742	1286
366	744	1283
367	746	1281
368	747	1278
369	750	1277
370	752	1275
371	754	1273
372	756	1271
373	758	1269
374	760	1267
375	762	1264
376	763	1262
377	766	1261
378	768	1259
379	771	1258
380	773	1256
381	774	1253
382	776	1251
383	778	1249
384	780	1247
385	783	1245
386	785	1244
387	786	1241
388	788	1239
389	790	1237
390	792	1234
391	794	1232
392	796	1230
393	799	1229
394	801	1227
395	803	1225
396	805	1223
397	807	1221
398	809	1219
399	811	1217
400	814	1216
401	815	1213
402	818	1212
403	820	1210
404	822	1208
405	825	1207
406	827	1205
407	830	1204
408	832	1202
409	834	1200
410	836	1198
411	838	1196
412	840	1194
413	842	1192
414	843	1189
415	846	1187
416	848	1186
417	849	1183
418	851	1180
419	853	1177
420	855	1175
421	856	1173
422	859	1171
423	861	1170
424	863	1167
425	865	1165
426	867	1163
427	869	1161
428	870	1159
429	872	1156
430	874	1153
431	876	1152
432	878	1150
433	880	1148
434	882	1146
435	884	1144
436	886	1141
437	887	1139
438	889	1136
439	891	1134
440	893	1132
441	895	1130
442	896	1127
443	898	1124
444	900	1122
445	902	1120
446	904	1118
447	906	1116
448	908	1115
449	910	1113
450	912	1110
451	914	1108
452	915	1105
453	917	1103
454	919	1101
455	921	1099
456	923	1097
457	926	1095
458	928	1093
459	930	1092
460	932	1090
461	933	1087
462	935	1085
463	938	1083
464	940	1081
465	941	1079
466	943	1077
467	945	1075
468	947	1073
469	949	1070
470	951	1068
471	953	1066
472	956	1065
473	958	1063
474	960	1061
475	962	1059
476	964	1057
477	966	1055
478	968	1053
479	970	1051
480	973	1049
481	975	1048
482	978	1046
483	980	1044
484	982	1043
485	984	1041
486	987	1040
487	990	1038
488	992	1036
489	994	1035
490	996	1033
491	998	1031
492	1001	1029
493	1004	1028
494	1006	1026
495	1008	1025
496	1010	1022
497	1011	1019
498	1013	1017
499	1015	1015
500	1018	1014
501	1020	1012
502	1023	1010
503	1025	1009
504	1027	1007
505	1028	1004
506	1031	1002
507	1033	1000
508	1035	998
509	1037	996
510	1039	994
511	1041	992
512	1043	990
513	1046	989
514	1049	988
515	1051	986
516	1052	983
517	1055	981
518	1057	979
519	1059	977
520	1062	976
521	1065	975
522	1067	974
523	1070	972
524	1072	970
525	1074	968
526	1076	966
527	1078	964
528	1081	963
529	1083	960
530	1085	959
531	1087	957
532	1089	954
533	1091	952
534	1093	950
535	1096	949
536	1098	947
537	1101	945
538	1103	944
539	1105	941
540	1107	939
541	1110	938
542	1112	936
543	1114	934
544	1117	932
545	1119	930
546	1121	928
547	1123	926
548	1125	924
549	1128	923
550	1130	921
551	1133	920
552	1135	917
553	1137	916
554	1140	914
555	1142	912
556	1145	910
557	1147	909
558	1149	907
559	1151	905
560	1153	902
561	1155	900
562	1158	899
563	1161	897
564	1163	895
565	1165	893
566	1167	891
567	1169	889
568	1172	888
569	1174	885
570	1176	883
571	1178	881
572	1179	879
573	1181	876
574	1183	874
575	1185	872
576	1188	871
577	1190	869
578	1193	867
579	1195	865
580	1198	864
581	1200	862
582	1201	859
583	1205	858
584	1207	856
585	1209	854
586	1211	852
587	1213	850
588	1216	848
589	1218	846
590	1221	845
591	1223	843
592	1225	841
593	1228	839
594	1230	837
595	1231	834
596	1233	832
597	1235	830
598	1237	828
599	1239	826
600	1240	823
601	1242	821
602	1244	819
603	1246	817
604	1248	815
605	1251	813
606	1253	811
607	1255	809
608	1257	807
609	1259	805
610	1261	803
611	1263	801
612	1266	799
613	1268	797
614	1270	795
615	1272	793
616	1274	791
617	1276	788
618	1278	786
619	1280	784
620	1290	787
621	1292	785
622	1294	783
623	1296	781
624	1298	779
625	1302	777
626	1304	775
627	1306	773
628	1308	771
629	1310	769
630	1312	767
631	1315	765
632	1317	763
633	1319	762
634	1322	760
635	1324	757
636	1325	755
637	1327	753
638	1329	751
639	1331	748
640	1333	746
641	1335	744
642	1336	742
643	1338	740
644	1340	737
645	1342	735
646	1344	733
647	1346	731
648	1348	729
649	1351	727
650	1353	725
651	1355	723
652	1357	721
653	1359	719
654	1361	717
655	1363	714
656	1365	712
657	1367	710
658	1369	708
659	1371	706
660	1373	704
661	1375	702
662	1378	700
663	1381	698
664	1383	696
665	1385	694
666	1387	692
667	1389	690
668	1391	688
669	1394	686
670	1396	684
671	1399	682
672	1400	680
673	1402	678
674	1404	676
675	1406	674
676	1409	672
677	1411	670
678	1413	668
679	1415	666
680	1417	664
681	1419	661
682	1421	659
683	1424	658
684	1426	655
685	1428	653
686	1430	651
687	1432	649
688	1434	647
689	1436	645
690	1439	643
691	1442	641
692	1444	639
693	1446	637
694	1448	635
695	1451	633
696	1453	632
697	1456	630
698	1458	628
699	1460	626
700	1462	623
701	1464	621
702	1466	619
703	1469	617
704	1471	615
705	1474	613
706	1476	611
707	1478	609
708	1481	607
709	1483	605
710	1486	604
711	1488	602
712	1489	599
713	1491	597
714	1493	595
715	1495	593
716	1497	590
717	1499	588
718	1501	586
719	1503	584
720	1505	582
721	1507	580
722	1510	578
723	1512	576
724	1514	574
725	1517	572
726	1519	570
727	1521	568
728	1523	566
729	1525	564
730	1527	561
731	1528	559
732	1531	557
733	1534	556
734	1537	554
735	1539	552
736	1541	550
737	1543	547
738	1545	545
739	1548	543
740	1550	541
741	1552	539
742	1554	537
743	1556	535
744	1558	533
745	1560	531
746	1563	529
747	1565	527
748	1568	525
749	1570	523
750	1572	521
751	1574	519
752	1576	517
753	1579	515
754	1581	513
755	1583	511
756	1585	508
757	1587	506
758	1589	504
759	1591	502
760	1593	500
761	1595	498
762	1598	496
763	1600	494
764	1602	492
765	1604	490
766	1606	488
767	1609	486
768	1611	484
769	1614	482
770	1616	480
771	1617	477
772	1619	475
773	1621	473
774	1623	471
775	1626	469
776	1628	467
777	1630	465
778	1632	463
779	1634	460
780	1636	458
781	1638	456
782	1641	454
783	1643	452
784	1645	450
785	1648	448
786	1650	446
787	1652	444
788	1654	442
789	1656	440
790	1659	438
791	1661	436
792	1663	434
793	1666	432
794	1668	430
795	1671	428
796	1674	426
797	1676	424
798	1678	422
799	1680	420
800	1683	418
801	1685	416
802	1687	414
803	1690	412
804	1692	409
805	1694	407
806	1697	405
807	1699	403
808	1702	401
809	1704	399
810	1707	397
811	1709	395
812	1711	393
813	1713	391
814	1715	389
815	1717	387
816	1721	385
817	1723	383
818	1726	381
819	1728	379
820	1731	377
821	1733	375
822	1736	373
823	1739	371
824	1741	369
825	1743	367
826	1745	365
827	1747	363
828	1750	361
829	1753	359
830	1755	356
831	1757	354
832	1759	352
833	1762	350
834	1764	348
835	1767	346
836	1769	344
837	1772	342
838	1774	340
839	1776	338
840	1778	336
841	1780	334
842	1783	332
843	1785	330
844	1788	327
845	1790	325
846	1792	323
847	1794	321
848	1796	319
849	1799	317
850	1801	315
851	1803	313
852	1805	311
853	1807	309
854	1809	306
855	1812	304
856	1814	302
857	1817	300
858	1819	298
859	1821	296
860	1823	294
861	1825	292
862	1828	290
863	1831	288
864	1833	286
865	1836	284
866	1838	282
867	1840	279
868	1842	277
869	1845	275
870	1848	273
871	1850	271
872	1852	269
873	1855	267
874	1857	265
875	1859	263
876	1862	261
877	1864	259
878	1867	257
879	1869	254
880	1871	252
881	1873	250
882	1876	248
883	1880	246
884	1882	244
885	1884	242
886	1887	240
887	1889	238
888	1892	236
889	1895	234
890	1898	232
891	1901	230
892	1903	228
893	1907	226
894	1909	224
895	1912	222
896	1914	219
897	1917	217
898	1919	215
899	1922	213
900	1924	211
901	1926	209
902	1928	207
903	1931	205
904	1933	202
905	1936	200
906	1938	198
907	1942	196
908	1944	194
909	1947	192
910	1949	190
911	1952	188
912	1955	186
913	1958	184
914	1960	182
915	1962	179
916	1964	177
917	1966	175
918	1968	173
919	1971	171
920	1974	169
921	1976	167
922	1979	165
923	1981	162
924	1985	160
925	1988	158
926	1990	156
927	1993	154
928	1995	152
929	1997	150
930	2001	148
931	2003	146
932	2006	144
933	2008	141
934	2010	139
935	2012	137
936	2015	135
937	2017	133
938	2020	131
939	2023	129
940	2025	127
941	2027	124
942	2030	122
943	2033	120
944	2036	118
945	2038	116
946	2041	114
947	2043	112
948	2046	109
949	2049	107
950	2051	105
951	2054	103
952	2056	101
953	2058	99
954	2060	97
955	2063	94
956	2065	92
957	2068	90
958	2070	88
959	2072	86
960	2074	84
961	2077	82
962	2079	79
963	2081	77
964	2083	75
965	2086	73
966	2088	71
967	2090	69
968	2092	66
969	2094	64
970	2096	62
971	2098	60
972	2100	58
973	2102	56
974	2104	53
975	2107	51
976	2110	49
977	2112	47
978	2114	45
979	2116	43
980	2118	41
981	2120	38
982	2122	36
983	2125	34
984	2128	32
985	2131	30
986	2133	28
987	2136	25
988	2138	23
989	2142	21
990	2144	19
991	2147	17
992	2149	15
993	2151	12
994	2153	10
995	2156	8
996	2158	6
997	2161	4
998	2163	2
999	2165	0
